top_speed_kmh,battery_capacity_kWh,battery_type,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,seats,drivetrain,length_mm,width_mm,height_mm,car_body_type
180,79.0,0,288.0,679.0,148,455,5.3,135.0,0,1200.0,5,0,4643,1872,1626,3
180,77.0,0,288.0,545.0,135,455,6.4,120.0,0,1000.0,5,2,4643,1872,1626,3
160,52.0,0,192.0,310.0,163,320,9.0,85.0,0,1000.0,5,2,4643,1872,1626,3
180,79.0,0,288.0,679.0,153,440,5.3,135.0,0,1200.0,5,0,4468,1871,1639,4
180,77.0,0,288.0,545.0,139,435,6.4,120.0,0,1000.0,5,2,4468,1871,1630,4
160,52.0,0,192.0,310.0,137,305,8.7,85.0,0,1000.0,5,2,4468,1871,1630,4
180,88.0,0,485.29347826086956,675.0,160,435,4.8,105.0,0,1500.0,5,0,4713,1881,1624,4
180,91.0,0,376.0,675.0,165,445,4.6,115.0,0,1500.0,5,0,4713,1881,1624,4
180,88.0,0,485.29347826086956,525.0,147,475,6.1,105.0,0,1500.0,5,2,4713,1881,1624,4
180,91.0,0,376.0,525.0,152,480,5.9,115.0,0,1500.0,5,2,4713,1881,1624,4
200,91.0,0,376.0,950.0,177,425,3.8,115.0,0,750.0,5,0,4743,1881,1613,4
200,91.0,0,376.0,950.0,177,435,3.8,115.0,0,750.0,5,0,4743,1881,1613,4
200,91.0,0,376.0,950.0,178,415,3.9,115.0,0,750.0,5,0,4743,1881,1633,4
200,91.0,0,376.0,950.0,178,410,3.9,115.0,0,750.0,5,0,4743,1881,1633,4
180,72.6,0,485.29347826086956,525.0,154,385,6.2,100.0,0,750.0,5,2,4713,1881,1624,4
180,72.6,0,485.29347826086956,525.0,154,380,6.2,100.0,0,750.0,5,2,4713,1881,1624,4
160,43.6,0,485.29347826086956,290.0,126,275,8.0,85.0,0,750.0,5,1,4214,1805,1555,4
145,43.6,0,485.29347826086956,290.0,164,200,11.0,80.0,0,750.0,5,1,4337,1876,1817,6
